**********START:02/15/2023 21:34:38**********
{'time': '02/16/2023 03:07:25', 'total_params': 1, 'ratio': 1.0, 'loss': 0.0, 'accuracy': 0.7142857313156128, 'f1score': 0.23157894611358643, 'precision': 1.0, 'recall': 0.130952388048172, 'auc': 0.8887117505073547, 'prc': 0.815895676612854, 'seed': 5}
{'time': '02/16/2023 03:08:42', 'total_params': 1, 'ratio': 4.0, 'loss': 0.0, 'accuracy': 0.4375, 'f1score': 0.4516128599643707, 'precision': 1.0, 'recall': 0.2916666567325592, 'auc': 0.66796875, 'prc': 0.4057513177394867, 'seed': 5}
{'time': '02/16/2023 03:10:03', 'total_params': 1, 'ratio': 7.0, 'loss': 0.0, 'accuracy': 0.35483869910240173, 'f1score': 0.4878048598766327, 'precision': 1.0, 'recall': 0.32258063554763794, 'auc': 0.6670135259628296, 'prc': 0.4363298714160919, 'seed': 5}
{'time': '02/16/2023 03:11:45', 'total_params': 1, 'ratio': 10.0, 'loss': 0.0, 'accuracy': 0.3333333432674408, 'f1score': 0.48192769289016724, 'precision': 1.0, 'recall': 0.3174603283405304, 'auc': 0.6626984477043152, 'prc': 0.43493854999542236, 'seed': 5}
{'time': '02/16/2023 03:14:38', 'total_params': 1, 'ratio': 13.0, 'loss': 0.0, 'accuracy': 0.3235294222831726, 'f1score': 0.4999999701976776, 'precision': 1.0, 'recall': 0.3333333432674408, 'auc': 0.6615484952926636, 'prc': 0.4932240843772888, 'seed': 5}
{'time': '02/16/2023 03:18:04', 'total_params': 1, 'ratio': 16.0, 'loss': 0.0, 'accuracy': 0.3333333432674408, 'f1score': 0.4999999701976776, 'precision': 1.0, 'recall': 0.3333333432674408, 'auc': 0.5790894627571106, 'prc': 0.36124151945114136, 'seed': 5}
{'time': '02/16/2023 03:21:07', 'total_params': 1, 'ratio': 19.0, 'loss': 0.0, 'accuracy': 0.3333333432674408, 'f1score': 0.4999999701976776, 'precision': 1.0, 'recall': 0.3333333432674408, 'auc': 0.6263503432273865, 'prc': 0.4326600730419159, 'seed': 5}
{'time': '02/16/2023 03:25:27', 'total_params': 1, 'ratio': 22.0, 'loss': 0.0, 'accuracy': 0.3333333432674408, 'f1score': 0.4999999701976776, 'precision': 0.9999999403953552, 'recall': 0.3333333432674408, 'auc': 0.6258035898208618, 'prc': 0.4069201648235321, 'seed': 5}
{'time': '02/16/2023 03:29:49', 'total_params': 1, 'ratio': 25.0, 'loss': 0.0, 'accuracy': 0.3214285671710968, 'f1score': 0.4999999701976776, 'precision': 1.0, 'recall': 0.3333333432674408, 'auc': 0.6243622303009033, 'prc': 0.3965989947319031, 'seed': 5}
{'time': '02/16/2023 03:36:14', 'total_params': 1, 'ratio': 28.0, 'loss': 0.0, 'accuracy': 0.3333333432674408, 'f1score': 0.4999999701976776, 'precision': 1.0, 'recall': 0.3333333432674408, 'auc': 0.6536281704902649, 'prc': 0.4295199513435364, 'seed': 5}
{'time': '02/16/2023 03:40:39', 'total_params': 1, 'ratio': 31.0, 'loss': 0.0, 'accuracy': 0.3181818127632141, 'f1score': 0.4999999701976776, 'precision': 1.0, 'recall': 0.3333333432674408, 'auc': 0.6487603187561035, 'prc': 0.44687730073928833, 'seed': 5}
{'time': '02/16/2023 03:46:22', 'total_params': 1, 'ratio': 34.0, 'loss': 0.0, 'accuracy': 0.3235294222831726, 'f1score': 0.4999999701976776, 'precision': 1.0, 'recall': 0.3333333432674408, 'auc': 0.6903113722801208, 'prc': 0.5264717936515808, 'seed': 5}
{'time': '02/16/2023 03:54:58', 'total_params': 1, 'ratio': 37.0, 'loss': 0.0, 'accuracy': 0.3214285671710968, 'f1score': 0.4999999701976776, 'precision': 1.0, 'recall': 0.3333333432674408, 'auc': 0.6712372899055481, 'prc': 0.46286892890930176, 'seed': 5}
{'time': '02/16/2023 04:02:14', 'total_params': 1, 'ratio': 40.0, 'loss': 0.0, 'accuracy': 0.3333333432674408, 'f1score': 0.4999999701976776, 'precision': 1.0, 'recall': 0.3333333432674408, 'auc': 0.6802778244018555, 'prc': 0.48861825466156006, 'seed': 5}
{'time': '02/16/2023 04:09:14', 'total_params': 1, 'ratio': 43.0, 'loss': 0.0, 'accuracy': 0.32258063554763794, 'f1score': 0.4999999701976776, 'precision': 1.0, 'recall': 0.3333333432674408, 'auc': 0.6498438119888306, 'prc': 0.4352368712425232, 'seed': 5}
